DATE,BXM
03/22/2002,584.300000
03/25/2002,578.480000
03/26/2002,581.430000
03/27/2002,583.950000
03/28/2002,585.550000
04/01/2002,585.140000
04/02/2002,581.450000
04/03/2002,576.800000
04/04/2002,577.420000
04/05/2002,576.160000
04/08/2002,577.550000
04/09/2002,574.070000
04/10/2002,580.430000
04/11/2002,566.950000
04/12/2002,570.760000
04/15/2002,566.560000
04/16/2002,579.690000
04/17/2002,578.580000
04/18/2002,577.870000
04/19/2002,578.150000
04/22/2002,572.770000
04/23/2002,570.640000
04/24/2002,567.890000
04/25/2002,567.500000
04/26/2002,560.930000
04/29/2002,555.980000
04/30/2002,561.910000
05/01/2002,566.690000
05/02/2002,566.120000
05/03/2002,560.970000
05/06/2002,550.650000
05/07/2002,548.940000
05/08/2002,568.740000
05/09/2002,561.360000
05/10/2002,552.160000
05/13/2002,562.440000
05/14/2002,574.010000
05/15/2002,571.080000
05/16/2002,575.110000
05/17/2002,577.350000
05/20/2002,573.600000
05/21/2002,569.650000
05/22/2002,572.330000
05/23/2002,576.480000
05/24/2002,572.420000
05/28/2002,569.370000
05/29/2002,566.920000
05/30/2002,566.180000
05/31/2002,567.630000
06/03/2002,555.420000
06/04/2002,555.390000
06/05/2002,560.380000
06/06/2002,549.920000
06/07/2002,549.240000
06/10/2002,550.960000
06/11/2002,541.950000
06/12/2002,545.650000
06/13/2002,539.990000
06/14/2002,538.780000
06/17/2002,554.270000
06/18/2002,554.800000
06/19/2002,545.700000
06/20/2002,538.380000
06/21/2002,532.060000
06/24/2002,533.980000
06/25/2002,528.750000
06/26/2002,528.520000
06/27/2002,534.940000
06/28/2002,535.600000
07/01/2002,528.110000
07/02/2002,518.900000
07/03/2002,521.800000
07/05/2002,537.580000
07/08/2002,533.210000
07/09/2002,522.480000
07/10/2002,505.470000
07/11/2002,509.250000
07/12/2002,506.280000
07/15/2002,504.320000
07/16/2002,495.080000
07/17/2002,498.070000
07/18/2002,484.630000
07/19/2002,469.680000
07/22/2002,457.940000
07/23/2002,447.950000
07/24/2002,468.670000
07/25/2002,467.480000
07/26/2002,473.970000
07/29/2002,488.510000
07/30/2002,488.590000
07/31/2002,490.950000
08/01/2002,485.100000
08/02/2002,478.340000
08/05/2002,467.900000
08/06/2002,478.320000
08/07/2002,485.380000
08/08/2002,491.740000
08/09/2002,493.140000
08/12/2002,493.600000
08/13/2002,492.450000
08/14/2002,496.290000
08/15/2002,496.700000
08/16/2002,497.420000
08/19/2002,502.510000
08/20/2002,499.290000
08/21/2002,502.890000
08/22/2002,504.930000
08/23/2002,501.260000
08/26/2002,503.440000
08/27/2002,501.190000
08/28/2002,496.060000
08/29/2002,496.400000
08/30/2002,496.700000
09/03/2002,482.020000
09/04/2002,489.460000
09/05/2002,483.750000
09/06/2002,491.130000
09/09/2002,495.430000
09/10/2002,498.330000
09/11/2002,498.950000
09/12/2002,490.080000
09/13/2002,492.360000
09/16/2002,493.540000
09/17/2002,484.430000
09/18/2002,482.410000
09/19/2002,467.930000
09/20/2002,469.060000
09/23/2002,466.310000
09/24/2002,461.870000
09/25/2002,469.830000
09/26/2002,475.180000
09/27/2002,467.290000
09/30/2002,463.110000
10/01/2002,475.370000
10/02/2002,468.370000
10/03/2002,465.350000
10/04/2002,457.620000
10/07/2002,450.280000
10/08/2002,457.610000
10/09/2002,446.500000
10/10/2002,461.340000
10/11/2002,476.130000
10/14/2002,479.540000
10/15/2002,488.540000
